HOG	OG	Gene Tree Parent Clade	Azeb	Sbro	Tgra
N1.HOG0000000	OG0000000	n1		EVM0013061.1	KUTeg_005562
N1.HOG0000001	OG0000000	n3		EVM0016627.1, EVM0001590.1, EVM0019510.1, EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1, EVM0010545.1, EVM0007039.1, EVM0009213.1, EVM0014600.1, EVM0010773.1, EVM0008008.1, EVM0009516.1, EVM0014117.1, EVM0010901.1, EVM0004382.1, EVM0003143.1, EVM0002459.1, EVM0022489.1, EVM0003822.1, EVM0016006.1, EVM0021538.1, EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1, EVM0008394.1, EVM0004331.1, EVM0010343.1, EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1, EVM0016699.1, EVM0020381.1, EVM0010258.1, EVM0022032.1, EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1, EVM0017929.1, EVM0022421.1, EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1, EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1, EVM0006528.1, EVM0005398.1, EVM0022955.1, EVM0022845.1, EVM0021141.1, EVM0014031.1, EVM0015407.1, EVM0000127.1, EVM0019036.1, EVM0015898.1, EVM0014630.1	KUTeg_021748
N1.HOG0000002	OG0000001	n0		EVM0017731.1	
N1.HOG0000003	OG0000002	n1		EVM0002233.1, EVM0014452.1, EVM0017298.1, EVM0003748.1, EVM0020719.1, EVM0017577.1, EVM0014201.1, EVM0010281.1, EVM0010920.1, EVM0008845.1, EVM0000195.1, EVM0020990.1, EVM0006998.1, EVM0008932.1, EVM0003185.1, EVM0009365.1, EVM0009952.1, EVM0008430.1, EVM0007041.1, EVM0012913.1, EVM0005216.1, EVM0011893.1, EVM0010132.1, EVM0010294.1, EVM0007854.1, EVM0001310.1, EVM0020551.1, EVM0012470.1, EVM0000410.1, EVM0004224.1, EVM0003353.1, EVM0022418.1, EVM0005519.1, EVM0011397.1, EVM0003219.1, EVM0016217.1, EVM0023952.1, EVM0021103.1, EVM0007633.1, EVM0022614.1, EVM0009441.1, EVM0015079.1	KUTeg_000267, KUTeg_000635, KUTeg_018359
N1.HOG0000004	OG0000002	n46		EVM0008881.1, EVM0006340.1, EVM0014809.1, EVM0004453.1	
N1.HOG0000005	OG0000003	n1		EVM0007102.1	
N1.HOG0000006	OG0000003	n2		EVM0022563.1	
N1.HOG0000007	OG0000004	n0		EVM0009804.1	KUTeg_015485, KUTeg_015704, KUTeg_011448, KUTeg_006131, KUTeg_006061, KUTeg_011449, KUTeg_011455, KUTeg_011432, KUTeg_008189, KUTeg_006058, KUTeg_011431, KUTeg_011451, KUTeg_014769, KUTeg_023489, KUTeg_017735, KUTeg_006060, KUTeg_006056, KUTeg_017302, KUTeg_000869, KUTeg_011435, KUTeg_006062, KUTeg_006132, KUTeg_006054, KUTeg_006057, KUTeg_001064, KUTeg_023480, KUTeg_001063, KUTeg_004002, KUTeg_003997, KUTeg_006059, KUTeg_006055, KUTeg_006262, KUTeg_006263, KUTeg_001069, KUTeg_008499, KUTeg_008500, KUTeg_023362, KUTeg_022848, KUTeg_011433, KUTeg_011439, KUTeg_011445, KUTeg_011454, KUTeg_011452, KUTeg_011430, KUTeg_011447, KUTeg_000870, KUTeg_011456, KUTeg_011446
N1.HOG0000008	OG0000005	n1			KUTeg_024695
N1.HOG0000009	OG0000005	n2			KUTeg_016065, KUTeg_019685, KUTeg_015565, KUTeg_004162, KUTeg_000337, KUTeg_000836, KUTeg_000134, KUTeg_000630, KUTeg_001239, KUTeg_001237, KUTeg_001049, KUTeg_001238, KUTeg_019683, KUTeg_001236, KUTeg_001048, KUTeg_001046, KUTeg_009331, KUTeg_000336, KUTeg_000340, KUTeg_000139, KUTeg_000837, KUTeg_001050, KUTeg_000339, KUTeg_020103, KUTeg_009333, KUTeg_009330, KUTeg_001047, KUTeg_012244, KUTeg_024142, KUTeg_023910, KUTeg_024051, KUTeg_024822, KUTeg_024226, KUTeg_023941, KUTeg_024363, KUTeg_024145, KUTeg_024151, KUTeg_024574, KUTeg_025055, KUTeg_024366, KUTeg_024364, KUTeg_024144, KUTeg_024367, KUTeg_024362, KUTeg_024405, KUTeg_024090
N1.HOG0000010	OG0000006	n0			KUTeg_021248
N1.HOG0000011	OG0000008	n3		EVM0023822.1, EVM0003754.1, EVM0018345.1, EVM0001727.1, EVM0018861.1	
N1.HOG0000012	OG0000008	n10		EVM0003323.1, EVM0022072.1, EVM0022022.1, EVM0016586.1, EVM0005171.1, EVM0022311.1, EVM0018092.1, EVM0006401.1	KUTeg_022192
N1.HOG0000013	OG0000008	n18		EVM0012425.1	KUTeg_006471
N1.HOG0000014	OG0000008	n19		EVM0014483.1, EVM0013928.1, EVM0014219.1, EVM0004848.1, EVM0006463.1, EVM0019792.1, EVM0021542.1, EVM0023738.1, EVM0022120.1, EVM0012401.1, EVM0012803.1, EVM0014508.1, EVM0010265.1, EVM0016527.1, EVM0008405.1, EVM0023544.1, EVM0019596.1, EVM0018461.1, EVM0009263.1, EVM0003525.1, EVM0000755.1	
N1.HOG0000015	OG0000008	n39		EVM0008250.1	KUTeg_009614
N1.HOG0000016	OG0000009	n1			KUTeg_002928
N1.HOG0000017	OG0000009	n6			KUTeg_010789
N1.HOG0000018	OG0000009	n8			KUTeg_015904
N1.HOG0000019	OG0000009	n9			KUTeg_016826, KUTeg_015804, KUTeg_005446, KUTeg_010262, KUTeg_000588, KUTeg_000589, KUTeg_011062, KUTeg_000365, KUTeg_017866, KUTeg_017868, KUTeg_018295, KUTeg_017865, KUTeg_018294, KUTeg_011074, KUTeg_010786, KUTeg_011075, KUTeg_010788, KUTeg_011076, KUTeg_010787, KUTeg_011071, KUTeg_011078, KUTeg_011080, KUTeg_011072, KUTeg_000783, KUTeg_000784, KUTeg_000590
N1.HOG0000020	OG0000009	n34			KUTeg_016833, KUTeg_016834
N1.HOG0000021	OG0000011	n0		EVM0007388.1	
N1.HOG0000022	OG0000012	n1		EVM0006215.1	
N1.HOG0000023	OG0000012	n2		EVM0018945.1	
N1.HOG0000024	OG0000013	n0			KUTeg_009093, KUTeg_011859, KUTeg_000713, KUTeg_000561, KUTeg_006825, KUTeg_022144, KUTeg_012634, KUTeg_021226, KUTeg_004839, KUTeg_007251, KUTeg_022143, KUTeg_011880, KUTeg_005983, KUTeg_012216, KUTeg_016148, KUTeg_011747, KUTeg_011593, KUTeg_020710, KUTeg_023570, KUTeg_018772, KUTeg_011424, KUTeg_018845, KUTeg_012602, KUTeg_005415, KUTeg_017542, KUTeg_011101, KUTeg_015474, KUTeg_020704, KUTeg_005418, KUTeg_023571, KUTeg_018846, KUTeg_020711, KUTeg_021217, KUTeg_011594
N1.HOG0000025	OG0000014	n0		EVM0020362.1	
N1.HOG0000026	OG0000015	n1		EVM0017892.1	KUTeg_002913, KUTeg_005788
N1.HOG0000027	OG0000015	n3		EVM0021996.1	KUTeg_017319, KUTeg_005377, KUTeg_018463, KUTeg_014564, KUTeg_014724, KUTeg_011243, KUTeg_014799, KUTeg_014797, KUTeg_014721, KUTeg_017320, KUTeg_014719, KUTeg_002914, KUTeg_017322, KUTeg_015689, KUTeg_011230, KUTeg_011245, KUTeg_014718, KUTeg_002878, KUTeg_017321, KUTeg_005432, KUTeg_014800, KUTeg_005543, KUTeg_005546, KUTeg_017323, KUTeg_014722, KUTeg_005376, KUTeg_014798, KUTeg_014725, KUTeg_011229, KUTeg_009057
N1.HOG0000028	OG0000016	n2			KUTeg_008976, KUTeg_010577, KUTeg_004493
N1.HOG0000029	OG0000016	n6			KUTeg_018047, KUTeg_008454, KUTeg_013667, KUTeg_001014
N1.HOG0000030	OG0000016	n10			KUTeg_009055, KUTeg_006074, KUTeg_001089, KUTeg_005778, KUTeg_009388, KUTeg_011281
N1.HOG0000031	OG0000016	n17			KUTeg_014559, KUTeg_014507, KUTeg_021497, KUTeg_010864, KUTeg_014880, KUTeg_021610, KUTeg_005715, KUTeg_010627, KUTeg_024960, KUTeg_000785, KUTeg_008760, KUTeg_018596, KUTeg_019893, KUTeg_010629, KUTeg_006535
N1.HOG0000032	OG0000017	n1		EVM0009242.1, EVM0020778.1	KUTeg_011932, KUTeg_009324, KUTeg_021486, KUTeg_000996, KUTeg_021980, KUTeg_014613
N1.HOG0000033	OG0000017	n13		EVM0007965.1	KUTeg_017219
N1.HOG0000034	OG0000017	n14		EVM0023499.1, EVM0023306.1, EVM0008269.1	KUTeg_006561, KUTeg_017217, KUTeg_014622
N1.HOG0000035	OG0000017	n22		EVM0000837.1, EVM0019665.1, EVM0015619.1, EVM0005663.1, EVM0013176.1	KUTeg_001320
N1.HOG0000036	OG0000017	n27		EVM0023571.1, EVM0018113.1, EVM0011639.1	KUTeg_010499
N1.HOG0000037	OG0000017	n30		EVM0009068.1, EVM0020546.1	KUTeg_001323
N1.HOG0000038	OG0000018	n0		EVM0022928.1, EVM0007449.1, EVM0018717.1	KUTeg_017886, KUTeg_008019, KUTeg_006110, KUTeg_002456, KUTeg_015732, KUTeg_000735, KUTeg_017986, KUTeg_011453, KUTeg_014712, KUTeg_004292, KUTeg_016405, KUTeg_017883, KUTeg_007080, KUTeg_006323, KUTeg_010173, KUTeg_014489, KUTeg_012755, KUTeg_015709, KUTeg_019254, KUTeg_007429, KUTeg_015771, KUTeg_015517, KUTeg_015142, KUTeg_000740, KUTeg_006417, KUTeg_007001, KUTeg_016406, KUTeg_010576, KUTeg_015710, KUTeg_006910
N1.HOG0000039	OG0000020	n1		EVM0014346.1	KUTeg_009325, KUTeg_022001
